,"2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
,"Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)","Population using at least basic sanitation services (%)"
"Country","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Afghanistan","39","38","37","36","35","34","32","31","30","29","28","27","26","25","24","24"
"Albania","98","98","97","97","96","96","95","94","94","93","92","91","91","90","89","88"
"Algeria","87","87","87","87","87","87","86","86","86","86","85","85","85","84","84","84"
"Andorra","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Angola","39","38","37","36","34","33","32","31","29","28","27","25","24","23","22","20"
"Antigua and Barbuda","88","88","88","87","87","86","86","86","85","85","84","84","84","83","83","82"
"Argentina","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95"
"Armenia","92","92","91","91","91","91","91","91","91","91","91","91","91","91","90","90"
"Australia","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Austria","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Azerbaijan","89","88","86","85","83","82","80","78","77","75","74","72","70","69","67","66"
"Bahamas","92","92","92","92","92","91","91","91","91","90","90","90","89","89","89","89"
"Bahrain","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Bangladesh","47","46","44","43","41","40","39","37","36","34","33","31","30","28","27","25"
"Barbados","96","96","96","95","95","94","93","93","92","92","91","90","90","89","88","88"
"Belarus","94","94","94","94","94","95","95","95","95","95","95","95","95","95","95","95"
"Belgium","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Belize","87","87","87","86","86","86","85","85","85","84","84","84","83","83","83","83"
"Benin","14","14","13","13","13","13","12","12","12","11","11","11","11","10","10","10"
"Bhutan","63","62","62","61","61","60","59","59","58","57","57","56","55","54","53","53"
"Bolivia (Plurinational State of)","53","52","51","50","49","48","47","46","45","44","43","42","41","40","39","38"
"Bosnia and Herzegovina","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95","95"
"Botswana","60","60","60","59","59","59","58","58","57","57","57","56","56","55","55","54"
"Brazil","86","85","85","84","83","82","81","80","79","79","78","77","76","75","74","73"
"Brunei Darussalam","96","96","96","96","96","96","96","96","96","","","","","","",""
"Bulgaria","86","86","86","86","86","86","86","86","86","86","86","86","86","86","86","86"
"Burkina Faso","23","22","21","20","19","18","17","16","15","14","14","13","12","11","10","10"
"Burundi","50","50","50","49","49","48","47","47","46","45","45","44","43","43","42","41"
"Cabo Verde","65","65","64","63","61","59","57","55","52","50","48","46","44","42","40","37"
"Cambodia","49","46","44","41","39","37","34","32","29","27","24","22","20","17","15","12"
"Cameroon","39","39","39","39","39","39","39","39","39","39","39","39","39","40","40","40"
"Canada","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Central African Republic","25","25","25","25","24","23","22","21","21","20","19","18","17","17","16","15"
"Chad","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"Chile","100","100","99","99","98","98","97","97","96","96","95","94","94","93","92","92"
"China","75","74","73","72","71","70","69","68","67","66","65","64","63","62","61","61"
"Colombia","84","84","83","83","82","82","81","81","80","79","79","78","78","77","76","76"
"Comoros","34","34","34","33","33","32","31","31","30","30","29","29","28","28","27","27"
"Congo","15","15","15","15","14","14","14","14","14","14","13","13","13","13","13","13"
"Cook Islands","98","98","98","97","97","96","96","96","95","95","94","94","93","93","93","92"
"Costa Rica","97","97","97","97","97","96","96","96","96","96","95","95","95","95","94","94"
"Côte d'Ivoire","30","29","29","28","28","27","27","26","26","25","25","24","24","23","23","22"
"Croatia","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97","97"
"Cuba","91","91","91","91","90","90","90","90","90","90","90","90","90","89","89","89"
"Cyprus","99","99","99","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Czechia","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Democratic People's Republic of Korea","77","77","77","77","77","77","77","77","77","77","77","77","77","77","",""
"Democratic Republic of the Congo","20","20","20","20","20","21","21","21","21","21","21","22","22","22","22","22"
