;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
;Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%);Population using at least basic drinking-water services (%)
Country;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
Afghanistan;63;60;58;55;53;50;47;45;42;40;37;35;32;30;27;27
Albania;91;91;90;88;88;88;88;88;88;88;88;88;88;88;88;88
Algeria;93;93;93;93;93;92;92;92;92;91;91;91;91;90;90;90
Andorra;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Angola;41;41;41;40;40;40;40;40;39;39;39;39;39;38;38;38
Antigua and Barbuda;97;97;97;97;97;97;97;97;97;98;98;98;98;98;98;98
Argentina;100;100;100;100;99;99;99;99;99;99;99;99;99;99;99;99
Armenia;99;98;98;98;98;98;97;97;97;97;97;97;96;96;96;96
Australia;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Austria;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Azerbaijan;84;84;83;83;82;82;81;81;80;80;79;79;78;78;77;76
Bahamas;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98
Bahrain;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Bangladesh;97;97;97;97;97;97;96;96;96;96;96;95;95;95;95;95
Barbados;98;98;98;98;98;98;98;98;98;98;98;98;98;98;99;99
Belarus;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98
Belgium;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Belize;97;96;96;95;95;94;93;93;92;91;91;90;89;89;88;88
Benin;67;67;66;66;65;65;64;64;63;63;62;62;61;61;61;60
Bhutan;98;98;97;96;95;94;92;91;90;89;88;86;85;84;82;81
Bolivia (Plurinational State of);93;92;91;90;89;89;88;87;86;85;84;83;82;81;80;79
Bosnia and Herzegovina;98;98;98;98;97;97;97;97;97;97;97;97;96;96;96;96
Botswana;79;79;79;79;79;79;78;78;78;78;78;78;78;77;77;77
Brazil;97;97;97;97;96;96;96;96;96;95;95;95;95;94;94;94
Brunei Darussalam;100;100;100;100;100;100;100;99;99;;;;;;;
Bulgaria;99;99;99;99;99;99;99;100;100;100;100;100;100;100;100;100
Burkina Faso;54;53;53;52;52;51;51;50;50;49;49;48;48;47;47;47
Burundi;56;56;56;55;55;55;55;54;54;54;54;53;53;53;53;52
Cabo Verde;86;86;86;85;84;84;83;82;81;81;80;79;79;78;78;78
Cambodia;75;73;72;70;69;67;66;64;63;61;60;58;57;55;54;52
Cameroon;65;65;64;63;63;62;61;61;60;59;59;58;57;57;56;55
Canada;99;99;99;99;99;99;100;100;100;100;100;100;100;100;100;100
Central African Republic;54;54;54;54;54;54;53;53;53;53;53;53;52;52;52;52
Chad;43;42;42;42;41;41;41;41;41;40;40;40;40;39;39;39
Chile;100;100;100;100;99;99;99;98;98;98;97;97;97;96;96;95
China;96;95;94;93;92;91;90;88;87;86;84;83;81;80;78;78
Colombia;97;96;96;95;95;95;94;94;93;93;92;92;91;91;91;90
Comoros;84;84;84;84;84;84;85;85;85;85;85;86;86;86;86;86
Congo;68;68;67;66;65;64;63;62;62;61;60;59;58;58;57;57
Cook Islands;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Costa Rica;100;100;99;99;99;98;98;98;97;97;96;96;95;95;94;94
Côte d'Ivoire;73;73;73;73;73;73;72;72;72;72;72;72;72;72;72;72
Croatia;100;100;100;99;99;99;99;99;99;99;99;99;99;99;99;99
Cuba;95;95;95;95;95;95;94;94;94;94;94;94;94;93;93;93
Cyprus;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Czechia;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Democratic People's Republic of Korea;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
